Förening,Plats/lokal,stadsdel,,kategori,adress,koordinater,,kommentar,finns bild
,Huddinge Filmstudio,,,Film,"Mellanvägen 33, 141 31 Huddinge",59.2433691,17.9608295,,
,Huddinge Konstnärsklubb,,,Konst(galleri),"Fullersta Gårdsväg 18, 141 35 Huddinge",59.2388765,17.9748133,,
Huddinge Estradpoesi,,,,Poesi,Folkes,,,,
,Litografklubbens Arkiv,,,Museum,"Sundby Gårdsväg 6, 141 91 Huddinge",59.2005622,18.0195925,,
,Teater Sláva,,,Teater,"Kyrkogårdsvägen 6, 141 62 Huddinge",59.2383379,17.9860574,,
Huddinge Jazzförening,,,,Musik,Folkes,,,,
Huddinge Square Swingers,,,,Dans,,,,,
,Operan,,,Opera/musik,"Elektronvägen 32, 141 49 Huddinge",59.2219599,17.9564983,,
,Dramaten,,,Teater,"Elektronvägen 32, 141 49 Huddinge",59.2219599,17.9564983,,
Huddinge Riksteaterförening,,,,Teater,,,,,
,Folkes,,,Restaurang/eventlokal/konferens,"Sjödalstorget 1, 141 47 Huddinge",59.2349559,17.9810838,,
,Kultopia,,,Musik,"Elektronvägen 4, 141 49 Huddinge",59.2218046,17.9567271,,
,Stockholms Musikpedagogiska Instutut,,,Skola,"Alfred Nobels Allé 15, 141 52 Huddinge",59.2183452,17.9418407,,ja
,Innovation station ,,,,"Alfred Nobels Allé 7, 141 89 Huddinge",59.219461,17.9430918,,ja
AI-TV Network,,,,,,,,,
Huddinge Konstnärsklubbs vänner,,,,,Ibland Folkes,,,,
Huddinge Hembygdsförening,,,,Allmän kultur/Museum,"Kommunalvägen 16, 141 61 Huddinge",59.236048,17.9796436,,
Huddinge Kulturhus,,,,Samlingsförening,Folkes,,,,
Karin Boye Sällskapet,,,,Litteratur,,,,,
,Konstförening Bellis,,,,"Spelvägen 14, 142 62 Trångsund",59.2290765,18.1353638,,
Kulturföreningen Almen,,,,,,,,,
,Kulturföreningen Lyktan,,,Konst(galleri),"Skogåstorget 7-9, 142 30 Skogås",59.2175913,18.1522002,,
,Segeltorps Kulturförening,,,Allmän kultur,"Mäster Lorentz väg 3, 141 70 Segeltorp",59.2721863,17.928138,,
SMASH,,,,Brädspel,Folkes,,,,
,Ögla Kulturförening,,,Musik,"Kärrsjövägen 1, 141 91 Huddinge",59.1921831,17.9862521,,
,Kulturskolan Huddinge,,,Skola,"Paradistoget 16, 141 47 Huddinge",59.237,17.9819,Finns även i vårby & skogås,
,Idun Lovén,,,Skola,"Alfred Nobels Allé 9, 141 52 Huddinge",59.2176376,17.9384927,,ja
,ABF,,,Skola/allmän kultur,"Röntgenvägen 15, 141 52 Huddinge",59.2232245,17.9376574,,
,Fritidsbanken,,,Fritid,"Ebba bååts torg 20, 141 51 Huddinge",59.2189231,17.9497146,,ja
,Flemingsbergs biblioteket,,,Litteratur,"Ebba bååts torg 20, 141 51 Huddinge",59.2189232,17.9497147,,ja
,SHs bibliotek,,,Litteratur,"Alfred Nobels Allé 11, 141 52 Huddinge",59.2176376,17.9384927,,ja
