Organisatör,Namn på eventet,Kategori,adress,koordinater,pris,datum,tid,kategori,passar,krävs anmälan,länk
Huddinge Jazzförening & Huddinge Kulturhus,Huddinge Jazz & Blues,konsert,sjödalsparken,,gratis,fre 29 maj - lör 30 maj,"fre 15.30-21, lör 12-21",musik,,,
Huddinge kommun,Drop-in-vigsel,övrigt,Huddinge centrum,,gratis (om m i huddinge),lör 30 maj,10-15.30,,,nej,https://webb.huddinge.se/huddingedagen-2025/kom-och-gift-er-under-huddingedagen/
Segeltorp Kulturförening,Konstrunda,utställning,"Magasinet, Juringe Gård",,Gratis,lör 30 maj - sön 31 maj,11.00-16.00,konst,passar alla,nej,
Huddinge kommun,Sommarlåtar,konsert,Melodivägen 22,,gratis,tis 2 juni,11.30-13,musik,,,
Huddinge kommun,Visättra promenadgrupp,fritidsaktivitet,Visättravägen 13,,gratis,2-Jun,börjar 14.15-15.15,promenad,,"helst, inget måste",ring 08- 535 312 06
Huddinge kommun,Rollspelsklubben,fritidsaktivitet,Kommunalvägen 28A,,gratis,10-Jun,16-18,rollspel,,ja,https://www.studieframjandet.se/stockholms-lan/gustav-arrangemang/kalenderhandelser/2026/juni/rollspelsklubben-oppet-mini-konvent-med-rollspel/Register/
ABF,"Film, fika och samtal - Nunnan del 1",film,Kommunalvägen 26,,gratis,8-Jun,13-14,samhälle,,ja,https://www.abf.se/huddinge/kurs/film-fika-och-samtal-nunnan-del-i-3924692/anmalan/
ABF,Att bli förälder,föreläsning,Kommunalvägen 27,,100 kr,9-Jun,13.30-15,,för nyblivna föräldrar,ja,https://www.abf.se/huddinge/kurs/att-bli-foralder-om-kanslor-krav-och-att-hitta-sin-egen-vag-3928083/anmalan/
Huddinge kommun,Skrivworkshop för unga,workshop,Kommunalvägen 28A,,gratis,16-Jun,13-15,litteratur,12-19 år,ja,https://bibliotek.huddinge.se/evenemang#/events/7af43722-5ba5-479a-ad52-7025656985a5?q=khalil
Huddinge kommun,Sommarfest,workshop,Ebba bååts torg 20,,gratis,10-Jun,13-15,pyssel/blandat,6-12 år,nej,
ABF,Krisberedskap (Civilförsvarsförbundet),Föreläsning,Kommunalvägen 26,,Gratis,11-Jun,13-14,samhälle,vuxna,ja,https://www.abf.se/huddinge/kurs/forelasning-krisberedskap-civilforsvarsforbundet-3924885/anmalan/
ABF,Dialogmöte med Huddinges lokalpolitiker,möte,Röntgenvägen 15,,gratis,25-Aug,17.30-20.00,samhälle,vuxna,ja,https://www.abf.se/huddinge/kurs/forelasning-och-valdialog-valet-2026-3920541/anmalan/
ABF,Sagan om Flemingsbergsskogen,vandring,Alfred Nobels allé 20,,gratis,17-Jun,13.30-15,,familjer,nej,
ABF,Stöd i digitala ärenden av Ungs It utbildarna,workshop,Skogåstorget 17,,gratis,24-Jun,14-16,,seniorer,,
ABF,Konst i Skogås,föreläsning,Skogåstorget 17,,gratis,2-Jul,13-16,konst,,ja,https://www.abf.se/huddinge/kurs/en-annan-del-av-huddinge-konst-i-skogas-3929674/anmalan/
ABF,Killsnack!,möte,Kommunalvägen 26,,600 kr,7-Nov,10.00-16.00,samhälle,intellektuell funktionsnedsättning,ja,https://www.abf.se/huddinge/kurs/killsnack-ht-26-3931628/anmalan/
